time_stamp,bank_id,type,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1675911151.335704,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.3,25.1,24.5,24.5,25.2,26.4
1675911152.415489,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.464,3.465,3.466,3.411,3.401
1675911152.43003,0,T,25.0,24.5,25.3,24.2,24.9,24.4,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.4
1675911153.512954,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.467,3.456,3.465,3.465,3.466,3.411,3.401
1675911153.5293372,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.4
1675911154.612444,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.464,3.465,3.466,3.411,3.401
1675911154.6270878,0,T,25.0,24.6,25.3,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.3,25.0,24.6,24.5,25.2,26.4
1675911155.708069,0,V,3.436,3.46,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.465,3.466,3.466,3.411,3.401
1675911155.7237718,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.5,24.5,25.3,26.4
1675911156.806619,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.465,3.466,3.466,3.411,3.401
1675911156.8216572,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911157.903837,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.477,3.475,3.462,3.457,3.468,3.456,3.464,3.465,3.466,3.411,3.401
1675911157.9185028,0,T,25.0,24.6,25.3,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.3,25.0,24.5,24.5,25.3,26.3
1675911159.001374,0,V,3.436,3.461,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.465,3.465,3.466,3.411,3.401
1675911159.0160818,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.2,26.4
1675911160.0983639,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.457,3.464,3.466,3.466,3.411,3.401
1675911160.1134121,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.5,25.2,24.8,24.8,24.8,24.3,25.0,24.6,24.5,25.2,26.4
1675911161.1961758,0,V,3.436,3.46,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.464,3.465,3.466,3.411,3.401
1675911161.210907,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.3
1675911162.291717,0,V,3.436,3.461,3.456,3.43,3.456,3.45,3.476,3.475,3.462,3.458,3.467,3.456,3.465,3.466,3.466,3.411,3.401
1675911162.3059862,0,T,25.0,24.5,25.4,24.2,24.9,24.4,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.3,26.4
1675911163.388834,0,V,3.436,3.461,3.456,3.431,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.465,3.465,3.466,3.411,3.401
1675911163.406503,0,T,25.0,24.6,25.3,24.2,24.9,24.4,24.5,25.2,24.8,24.8,24.8,24.3,25.0,24.5,24.5,25.2,26.4
1675911164.48609,0,V,3.436,3.461,3.456,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.464,3.466,3.466,3.411,3.401
1675911164.500878,0,T,25.0,24.6,25.4,24.2,24.9,24.4,24.5,25.2,24.8,24.8,24.8,24.3,25.0,24.5,24.5,25.2,26.3
1675911165.58351,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.467,3.456,3.465,3.466,3.466,3.411,3.401
1675911165.59769,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.3
1675911166.682783,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.464,3.466,3.466,3.411,3.401
1675911166.6951182,0,T,25.0,24.6,25.4,24.2,24.9,24.5,24.5,25.2,24.8,24.8,24.8,24.4,25.1,24.6,24.5,25.3,26.4
1675911167.778254,0,V,3.436,3.46,3.455,3.431,3.457,3.45,3.476,3.475,3.462,3.458,3.468,3.456,3.465,3.466,3.466,3.411,3.401
1675911167.793355,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.3
1675911168.873496,0,V,3.436,3.46,3.455,3.431,3.456,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.464,3.465,3.466,3.411,3.401
1675911168.8888361,0,T,25.0,24.5,25.4,24.2,24.9,24.5,24.4,25.2,24.8,24.8,24.8,24.4,25.0,24.6,24.5,25.2,26.4
1675911169.971483,0,V,3.436,3.461,3.455,3.43,3.457,3.45,3.476,3.475,3.462,3.457,3.468,3.456,3.465,3.465,3.466,3.41,3.401
